Timestamp,نام؟  (می توانید نام مستعار بگذارید الزامی به اسم واقعی نیست),سن؟,جنسیت؟,تعداد اعضای خانوار؟ (تعداد عضوی از خانواده که با هم در یک خانه زندگی میکنید),وضعیت تاهل؟,سطح تحصیلات؟,شغل؟,میانگین درآمد ماهیانه خانواده؟,تعداد اتومبیل های خانواده؟,آیا خودتان گواهی نامه رانندگی دارید؟,1- به جز خودتان،چند نفر در خانواده تان گواهی رانندگی دارند؟,2- چه مدل خودروهایی اغلب اوقات می رانید یا تمایل دارید؟,3- خودتان خودروی شخصی دارید؟,آیا قصد خرید خودرو در یکسال آینده را دارید(خرید به علت نیاز به اتومبیل نه  سرمایه گذاری)؟,4- چه مقدار معمولا سوار اتومبیل یا تاکسی می شوید؟,5- چه مقدار معمولا از وسایل نقلیه عمومی مانند اتوبوس و مترو برای انجام امور روزانه استفاده می‌کنید؟,6- چه مقدار معمولا از دوچرخه شخصی برای انجام امور روزانه استفاده می کنید؟,7- چه مقدار معمولا از دوچرخه عمومی یا اشتراکی شهرداری برای انجام امور روزانه استفاده می‌کنید؟,8- روزانه به طور متوسط چند کیلومتر سوار خودرو شخصی یا وسایل نقلیه عمومی می‌شوید؟,9- ترجیح می‌دهید تا مقصد مورد نظرتان خودتان رانندگی کنید؟,10- با روش اشتراک گذاری خودرو (Car sharing) چه مقدار آشنایی داشتید؟ (قبل از خواندن توضیح),11- بعد از خواندن توضیحات اشتراک‌گذاری خودرو، ‌چه مقدار علاقه‌مند به استفاده از این روش هستید؟ ,12- روش اشتراک گذاری خودرو در کاهش آلودگی محیط زیست موثر است. چه مقدار مسایل محیط‌زیستی برای شما اهمیت دارد و حاضر هستید برای آن هزینه بیشتری بپردازید‌، زیرا خودروهای کم مصرف و برقی ممکن است کرایه بالاتری داشته باشند؟ ,13- آیا وقتی سیستم اشتراک گذاری خودرو اجرایی شد، تمایل دارید خودروی شخصی خود را بفروشید؟,14- آیا تمایل دارید خودروی خود را در سرویس‌های اشتراک‌گذاری خودرو قرار دهید و کسب درآمد کنید؟  ,در سوال 14 اگر جوابتان خیر است دلیلش را مختصرا توضیح دهید,15- در صورت استفاده از روش کارشیرینگ، ترجیح می‌دهید هزینه عضویت سالیانه پرداخت کنید(مثلا حدود 200 هزار تومان) و در استفاده‌های روزانه تخفیف بگیرید یا بدون حق عضویت، هزینه هر سفر را پرداخت کنید؟(فرض کنید تخفیف برای هرسفر 25% قیمت عادی باشد),16- کدام روش محاسبه کرایه خودرو را ترجیح می‌دهید؟  ,بیشترین هزینه‌ای که برای کرایه ساعتی حاضر به پرداخت هستید، چقدر است؟,بیشترین هزینه‌ای که برای کرایه بر اساس 10 کیلومتر مسافت طی شده، حاضر به پرداخت هستید، چقدر است؟,17- کدام روش رزرو کردن خودرو را ترجیح می‌دهید؟,18- حداکثر چه زمانی تحمل برای در دسترس شدن خودرو در مکان های مشخص شده  دارید؟,19- حداکثر مسافتی که برای رسیدن به خودرو حاضر هستید پیاده روی کنید چقدر است؟,20- اگر فاصله خودرو بیشتر از این مقادیر بود ترجیح می‌دهید چگونه تا خودروی رزروی بروید؟,21- بیشترین نگرانی های شما در استفاده از خودروی اشتراکی چیست؟(چند گزینه قابل انتخاب است),در سوال قبلی اگر پاسختان در گزینه ها نیست، آن را بنویسید ,اگردر قسمت قبلی جوابتان (بله) است. فرض کنید سیستم اشتراک گذاری خودرو به درستی اجرایی شود،آیا ممکن است از خرید خودروی جدید منصرف شوید؟,,22- اگر در مقصدتان جای پارک خودرو نباشد یا به سختی پیدا شود ، چه مقدار تمایل به استفاده از خودروی شخصی برای رفتن به آن مقصد دارید؟,ممنون از کمک بزرگی که به انجام این پروژه کردین
12/3/2018 15:21:38,مسعود,25-35,مرد,4 نفر,مجرد,فوق لیسانس,شاغل تمام وقت,بالاتر از 15 ملیون تومان,3,بله,2,هاچ بک,بله,خیر,سه تا چهار بار در هفته,به ندرت (ماهی یک یا دو بار),دوچرخه ندارم,سوار نمی شوم,بین 20 تا 30,خیر,اصلا آشنایی نداشتم,متوسط,زیاد,خیر,خیر,,هزینه هر سفر بدون تخفیف,بر اساس زمان(ساعت),زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 10 دقیقه,حدود 500 متر,پیاده روی,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما",,,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/3/2018 16:57:13,Ali,25-35,مرد,3 نفر,مجرد,لیسانس,شاغل تمام وقت,بین 3 تا 6ملیون تومان,1,بله,1,سدان,خیر,خیر,اکثر روزها,یکبار یا دوبار در هفته,دوچرخه ندارم,سوار نمی شوم,بیشتر از 50,خیر,تا حدودی آشنایی داشتم,متوسط,کم,خیر,خیر,توانایی رانندگی دیگران و صدمه دیدن خودرو شخصی,هزینه هر سفر بدون تخفیف,براساس ترکیب زمان و مسافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 15 دقیقه,حدود 500 متر,کنسل می‌کنم,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما, مسائل بهداشتی",,بله,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/3/2018 17:51:41,ایده مبتکران و خیلی عالی هم برای آلودگی هوا  وه,بالای 45,مرد,5 نفر و بیشتر,متاهل,دیپلم,موارد دیگر,بین 1.5 تا 3 ملیون تومان,1,بله,3,دیگر,بله,بله,اکثر روزها,سوار نمی شوم,دوچرخه ندارم,سوار نمی شوم,بین 30 تا 40,خیر,تا حدودی آشنایی داشتم,خیلی زیاد,خیلی زیاد,بله,بله,,هزینه عضویت سالیانه و تخفیف برای هر سفر,بر اساس زمان(ساعت),زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق تلفن,5 دقیقه و کمتر,حدود 1 کیلومتر,پیاده روی,"بالا بودن هزینه کرایه, دور بودن خودروهای در دسترس",,بله,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/3/2018 17:54:35,سلیمیان,25-35,زن,4 نفر,مجرد,فوق لیسانس,بیکار,بین 3 تا 6ملیون تومان,1,بله,3,دیگر,خیر,بله,اکثر روزها,به ندرت (ماهی یک یا دو بار),سه تا چهار بار در هفته,سوار نمی شوم,بیشتر از 50,بله,تا حدودی آشنایی داشتم,متوسط,زیاد,بله,بله,,هزینه عضویت سالیانه و تخفیف برای هر سفر,بر اساس مسافت(کیلومتر طی شده),زیر 15 هزار تومان,زیر 15 هزار تومان,بدون رزرو کردن و به صورت حضوری,حدود 10 دقیقه,کمتر از 200 متر,با دوچرخه و قرار‌دادن آن درباربند مخصوص دوچرخه اتومبیل,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما, تصادف, دور بودن خودروهای در دسترس, مسائل بهداشتی",,خیر,,متوسط( ترجیح می دهم با اتومبیل شخصی بروم),
12/3/2018 18:32:19,سردار,18-25,مرد,4 نفر,مجرد,لیسانس,شاغل پاره وقت,کمتر از 1.5 ملیون تومان,0,بله,2,سدان,خیر,بله,سوار نمی شوم یا به ندرت استفاده می کنم,اکثر روزها,دوچرخه ندارم,سوار نمی شوم,بیشتر از 50,بله,اصلا آشنایی نداشتم,متوسط,خیلی زیاد,خیر,خیر,اون ماشینی که من سوار میشم خاص هست.و100درصد تیونینگ شده,هزینه عضویت سالیانه و تخفیف برای هر سفر,بر اساس مسافت(کیلومتر طی شده),زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 10 دقیقه,کمتر از 200 متر,کنسل می‌کنم,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما, تصادف",,بله,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/3/2018 18:38:23,توران ,بالای 45,زن,5 نفر و بیشتر,متاهل,دیپلم,خانه دار,بین 3 تا 6ملیون تومان,2,بله,4 وبیشتر,دیگر,بله,بله,یکبار یا دوبار در هفته,اکثر روزها,دوچرخه ندارم,سوار نمی شوم,بین 30 تا 40,خیر,اصلا آشنایی نداشتم,خیلی زیاد,متوسط,خیر,خیر,بدلیل اوضاع بد اقتصادی اگر خودرو آسیب ببیند نمیتوانم آنرا تعمیرگاه ببرم,هزینه هر سفر بدون تخفیف,بر اساس مسافت(کیلومتر طی شده),زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 10 دقیقه,کمتر از 200 متر,پیاده روی,تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما,,بله,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/3/2018 19:32:18,ارسلان,18-25,مرد,5 نفر و بیشتر,مجرد,لیسانس,دانشجو,بین 1.5 تا 3 ملیون تومان,3,بله,3,شاسی بلند,بله,خیر,سوار نمی شوم یا به ندرت استفاده می کنم,سوار نمی شوم,دوچرخه ندارم,سوار نمی شوم,بین 10 تا 20,بله,تا حدودی آشنایی داشتم,متوسط,متوسط,خیر,بله,,هزینه عضویت سالیانه و تخفیف برای هر سفر,بر اساس مسافت(کیلومتر طی شده),زیر 15 هزار تومان,حدود 30 هزار تومان,از طریق تلفن,5 دقیقه و کمتر,کمتر از 200 متر,تاکسی,تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما,,خیر,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/3/2018 19:32:28,کامران,18-25,مرد,5 نفر و بیشتر,مجرد,لیسانس,سرباز,بین 3 تا 6ملیون تومان,1,خیر,3,سدان,خیر,بله,اکثر روزها,سه تا چهار بار در هفته,دوچرخه ندارم,سوار نمی شوم,بین 10 تا 20,بله,اصلا آشنایی نداشتم,زیاد,متوسط,خیر,خیر,به علت مراعات نکردن و مواظبت نکردن مردم در استفاده از ان,هزینه عضویت سالیانه و تخفیف برای هر سفر,بر اساس مسافت(کیلومتر طی شده),زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,5 دقیقه و کمتر,کمتر از 200 متر,وسایل حمل و نقل همگانی ماندد اتوبوس و مترو,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما, تصادف",کم داشتن بنزین ,بله,,متوسط( ترجیح می دهم با اتومبیل شخصی بروم),
12/3/2018 19:38:42,اذر موسوی,بالای 45,زن,4 نفر,متاهل,دیپلم,خانه دار,بین 1.5 تا 3 ملیون تومان,1,بله,3,,بله,خیر,یکبار یا دوبار در هفته,یکبار یا دوبار در هفته,دوچرخه ندارم,سوار نمی شوم,بین 10 تا 20,بله,اصلا آشنایی نداشتم,کم,کم,خیر,خیر,تمایل ندارم غیر از خودم کسی از ماشینم استفاده کند,هزینه عضویت سالیانه و تخفیف برای هر سفر,براساس ترکیب زمان و مسافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق تلفن,5 دقیقه و کمتر,کمتر از 200 متر,پیاده روی,تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما,,خیر,,زیاد (در هر صورت با خودروی شخصی ام میروم و در نزدیکترین مکان پارک می کنم),
12/3/2018 19:39:30,لیلابهرامی,بالای 45,زن,3 نفر,متاهل,دیپلم,موارد دیگر,بین 1.5 تا 3 ملیون تومان,,بله,3,دیگر,بله,بله,سه تا چهار بار در هفته,اکثر روزها,دوچرخه ندارم,سوار نمی شوم,کمتر از 10,خیر,اصلا آشنایی نداشتم,متوسط,زیاد,خیر,خیر,چون دوست دارم ماشین خصوصی ام دراختیار خودم باشد,هزینه عضویت سالیانه و تخفیف برای هر سفر,براساس ترکیب زمان و مسافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق تلفن,حدود 10 دقیقه,کمتر از 200 متر,تاکسی,تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما,,بله,,متوسط( ترجیح می دهم با اتومبیل شخصی بروم),
12/3/2018 19:44:16,آذر موسوی,بالای 45,زن,3 نفر,,دیپلم,خانه دار,بین 1.5 تا 3 ملیون تومان,1,بله,,,بله,خیر,یکبار یا دوبار در هفته,یکبار یا دوبار در هفته,دوچرخه ندارم,,بین 10 تا 20,بله,اصلا آشنایی نداشتم,کم,کم,خیر,خیر,چون تمایل ندارم ماشینم را دست کسی بدهم,هزینه عضویت سالیانه و تخفیف برای هر سفر,براساس ترکیب زمان و مسافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق تلفن,5 دقیقه و کمتر,کمتر از 200 متر,پیاده روی,تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما,,,,متوسط( ترجیح می دهم با اتومبیل شخصی بروم),
12/3/2018 19:57:01,یلدا,بالای 45,زن,2 نفر,متاهل,دیپلم,خانه دار,بین 1.5 تا 3 ملیون تومان,1,خیر,1,دیگر,خیر,خیر,سه تا چهار بار در هفته,اکثر روزها,دوچرخه ندارم,سوار نمی شوم,کمتر از 10,خیر,اصلا آشنایی نداشتم,زیاد,خیلی زیاد,بله,بله,,هزینه عضویت سالیانه و تخفیف برای هر سفر,بر اساس مسافت(کیلومتر طی شده),زیر 15 هزار تومان,حدود 30 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 10 دقیقه,کمتر از 200 متر,پیاده روی,تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما,,,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/3/2018 20:42:35,هرمز موسوی,بالای 45,مرد,,متاهل,دیپلم,موارد دیگر,بین 3 تا 6ملیون تومان,1,بله,2,دیگر,بله,بله,اکثر روزها,یکبار یا دوبار در هفته,دوچرخه ندارم,سوار نمی شوم,بین 10 تا 20,خیر,اصلا آشنایی نداشتم,زیاد,خیلی زیاد,بله,بله,,هزینه عضویت سالیانه و تخفیف برای هر سفر,براساس ترکیب زمان و مسافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,5 دقیقه و کمتر,کمتر از 200 متر,پیاده روی,بالا بودن هزینه کرایه,,خیر,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/3/2018 21:29:33,مینا,25-35,زن,4 نفر,مجرد,دکتری,دانشجو,بالاتر از 15 ملیون تومان,3,بله,2,شاسی بلند,بله,خیر,اکثر روزها,به ندرت (ماهی یک یا دو بار),دوچرخه ندارم,سوار نمی شوم,بین 10 تا 20,بله,تا حدودی آشنایی داشتم,متوسط,خیلی زیاد,خیر,خیر,,هزینه عضویت سالیانه و تخفیف برای هر سفر,براساس ترکیب زمان و مسافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,5 دقیقه و کمتر,حدود 500 متر,پیاده روی,بالا بودن هزینه کرایه,,,,متوسط( ترجیح می دهم با اتومبیل شخصی بروم),
12/3/2018 22:14:28,Majid,18-25,مرد,5 نفر و بیشتر,مجرد,لیسانس,دانشجو,کمتر از 1.5 ملیون تومان,0,خیر,1,دیگر,خیر,خیر,سوار نمی شوم یا به ندرت استفاده می کنم,به ندرت (ماهی یک یا دو بار),دوچرخه ندارم,سوار نمی شوم,کمتر از 10,بله,اصلا آشنایی نداشتم,ندارم,زیاد,خیر,خیر,نمیدانم چرا,هزینه هر سفر بدون تخفیف,بر اساس مسافت(کیلومتر طی شده),زیر 15 هزار تومان,زیر 15 هزار تومان,بدون رزرو کردن و به صورت حضوری,5 دقیقه و کمتر,کمتر از 200 متر,وسایل حمل و نقل همگانی ماندد اتوبوس و مترو,بالا بودن هزینه کرایه,,,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/3/2018 22:15:48,نسترن,25-35,زن,4 نفر,مجرد,فوق لیسانس,بیکار,کمتر از 1.5 ملیون تومان,2,بله,3,هاچ بک,بله,خیر,اکثر روزها,اکثر روزها,دوچرخه ندارم,سوار نمی شوم,بین 30 تا 40,خیر,اصلا آشنایی نداشتم,خیلی زیاد,خیلی زیاد,بله,بله,,هزینه عضویت سالیانه و تخفیف برای هر سفر,براساس ترکیب زمان و مسافت,حدود 30 هزار تومان,حدود 30 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 10 دقیقه,کمتر از 200 متر,پیاده روی,تصادف,,,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/3/2018 22:23:54,z,25-35,زن,2 نفر,متاهل,فوق لیسانس,شاغل پاره وقت,بین 6 تا 15 ملیون تومان,1,بله,1,شاسی بلند,بله,خیر,یکبار یا دوبار در هفته,به ندرت (ماهی یک یا دو بار),دوچرخه ندارم,سوار نمی شوم,بین 20 تا 30,خیر,اصلا آشنایی نداشتم,کم,زیاد,خیر,بله,,هزینه عضویت سالیانه و تخفیف برای هر سفر,براساس ترکیب زمان و مسافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 10 دقیقه,کمتر از 200 متر,پیاده روی,بالا بودن هزینه کرایه,,خیر,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/3/2018 22:26:22,نیکیتا,18-25,زن,2 نفر,متاهل,لیسانس,دانشجو,کمتر از 1.5 ملیون تومان,1,بله,1,شاسی بلند,بله,خیر,یکبار یا دوبار در هفته,سه تا چهار بار در هفته,یکبار یا دوبار در هفته,یکبار یا دوبار در هفته,بین 30 تا 40,خیر,اصلا آشنایی نداشتم,متوسط,زیاد,بله,بله,,هزینه هر سفر بدون تخفیف,بر اساس زمان(ساعت),زیر 15 هزار تومان,زیر 15 هزار تومان,بدون رزرو کردن و به صورت حضوری,5 دقیقه و کمتر,حدود 1.5 کیلومتر,وسایل حمل و نقل همگانی ماندد اتوبوس و مترو,بالا بودن هزینه کرایه,,خیر,,متوسط( ترجیح می دهم با اتومبیل شخصی بروم),
12/3/2018 22:48:48,مهتاب,35-45,زن,2 نفر,متاهل,لیسانس,شاغل تمام وقت,بین 1.5 تا 3 ملیون تومان,1,بله,1,دیگر,خیر,خیر,اکثر روزها,سوار نمی شوم,دوچرخه ندارم,سوار نمی شوم,بین 20 تا 30,بله,اصلا آشنایی نداشتم,متوسط,متوسط,خیر,خیر,خودرو با همسرم مشترک است وعملا امکان پذیر نیست.,هزینه هر سفر بدون تخفیف,براساس ترکیب زمان و مسافت,زیر 15 هزار تومان,حدود 30 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 10 دقیقه,کمتر از 200 متر,پیاده روی,دور بودن خودروهای در دسترس,,,,متوسط( ترجیح می دهم با اتومبیل شخصی بروم),
12/3/2018 23:01:13,Gh,25-35,زن,2 نفر,مجرد,فوق لیسانس,شاغل تمام وقت,بین 1.5 تا 3 ملیون تومان,3,بله,1,شاسی بلند,بله,بله,سوار نمی شوم یا به ندرت استفاده می کنم,به ندرت (ماهی یک یا دو بار),به ندرت (ماهی یک یا دو بار),سوار نمی شوم,کمتر از 10,بله,اصلا آشنایی نداشتم,متوسط,زیاد,خیر,خیر,نیاز نیس,هزینه عضویت سالیانه و تخفیف برای هر سفر,بر اساس مسافت(کیلومتر طی شده),حدود 30 هزار تومان,حدود 30 هزار تومان,از طریق اپلیکیشن گوشی همراه,5 دقیقه و کمتر,کمتر از 200 متر,کنسل می‌کنم,تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما,,خیر,,زیاد (در هر صورت با خودروی شخصی ام میروم و در نزدیکترین مکان پارک می کنم),
12/3/2018 23:06:47,Vahid ,25-35,مرد,3 نفر,مجرد,فوق لیسانس,موارد دیگر,بین 3 تا 6ملیون تومان,2,بله,2,سدان,بله,خیر,اکثر روزها,سوار نمی شوم,دوچرخه ندارم,سوار نمی شوم,بین 20 تا 30,بله,اصلا آشنایی نداشتم,خیلی زیاد,متوسط,خیر,خیر,استهلاک بالا خودرو و هزینه,هزینه هر سفر بدون تخفیف,براساس ترکیب زمان و مسافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,5 دقیقه و کمتر,کمتر از 200 متر,پیاده روی,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما",,بله,,زیاد (در هر صورت با خودروی شخصی ام میروم و در نزدیکترین مکان پارک می کنم),
12/3/2018 23:16:31,ساره,18-25,زن,5 نفر و بیشتر,متاهل,لیسانس,دانشجو,کمتر از 1.5 ملیون تومان,1,بله,4 وبیشتر,شاسی بلند,خیر,خیر,یکبار یا دوبار در هفته,یکبار یا دوبار در هفته,دوچرخه ندارم,سوار نمی شوم,بین 10 تا 20,بله,اصلا آشنایی نداشتم,متوسط,ندارد,خیر,خیر,تمايلى ندارم,هزینه عضویت سالیانه و تخفیف برای هر سفر,بر اساس مسافت(کیلومتر طی شده),زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق تلفن,5 دقیقه و کمتر,کمتر از 200 متر,کنسل می‌کنم,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما, تصادف",,بله,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/3/2018 23:17:20,امین,25-35,مرد,4 نفر,مجرد,دکتری,دانشجو,بین 3 تا 6ملیون تومان,2,بله,2,دیگر,خیر,خیر,اکثر روزها,اکثر روزها,دوچرخه ندارم,به ندرت(در سال چند بار),بین 10 تا 20,خیر,تا حدودی آشنایی داشتم,متوسط,زیاد,خیر,خیر,استهلاک بالای خودرو و اسیب به ان,هزینه هر سفر بدون تخفیف,بر اساس مسافت(کیلومتر طی شده),حدود 30 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,5 دقیقه و کمتر,حدود 500 متر,تاکسی,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما, تصادف",,بله,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/3/2018 23:17:22,Mehdi,18-25,مرد,4 نفر,مجرد,لیسانس,بیکار,بین 3 تا 6ملیون تومان,2,بله,3,شاسی بلند,بله,خیر,اکثر روزها,اکثر روزها,به ندرت (ماهی یک یا دو بار),سوار نمی شوم,بین 10 تا 20,خیر,اصلا آشنایی نداشتم,متوسط,متوسط,خیر,خیر,فقر فرهنگي استفاده از اموال ديگران,هزینه عضویت سالیانه و تخفیف برای هر سفر,براساس ترکیب زمان و مسافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,5 دقیقه و کمتر,حدود 1 کیلومتر,پیاده روی,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما, تصادف",,,,متوسط( ترجیح می دهم با اتومبیل شخصی بروم),
12/3/2018 23:18:29,امیر,25-35,مرد,تنها زندگی میکنم,مجرد,لیسانس,شاغل پاره وقت,بین 1.5 تا 3 ملیون تومان,1,بله,0,سدان,بله,بله,سوار نمی شوم یا به ندرت استفاده می کنم,سوار نمی شوم,دوچرخه ندارم,سوار نمی شوم,بین 20 تا 30,بله,اصلا آشنایی نداشتم,متوسط,خیلی زیاد,خیر,بله,,هزینه عضویت سالیانه و تخفیف برای هر سفر,بر اساس مسافت(کیلومتر طی شده),زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 10 دقیقه,کمتر از 200 متر,کنسل می‌کنم,"بالا بودن هزینه کرایه, تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما",,خیر,,زیاد (در هر صورت با خودروی شخصی ام میروم و در نزدیکترین مکان پارک می کنم),
12/3/2018 23:19:57,زهرا,18-25,زن,4 نفر,مجرد,لیسانس,دانشجو,بین 3 تا 6ملیون تومان,1,بله,3,شاسی بلند,خیر,بله,یکبار یا دوبار در هفته,سه تا چهار بار در هفته,دوچرخه ندارم,سوار نمی شوم,بین 20 تا 30,خیر,اصلا آشنایی نداشتم,کم,ندارد,خیر,خیر,نمیخوام خب,هزینه عضویت سالیانه و تخفیف برای هر سفر,بر اساس مسافت(کیلومتر طی شده),زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,5 دقیقه و کمتر,کمتر از 200 متر,کنسل می‌کنم,تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما,,خیر,,زیاد (در هر صورت با خودروی شخصی ام میروم و در نزدیکترین مکان پارک می کنم),
12/3/2018 23:20:03,Mohsen,25-35,مرد,4 نفر,مجرد,لیسانس,شاغل تمام وقت,بین 3 تا 6ملیون تومان,2,بله,3,سدان,بله,خیر,سوار نمی شوم یا به ندرت استفاده می کنم,سوار نمی شوم,به ندرت (ماهی یک یا دو بار),سوار نمی شوم,بین 10 تا 20,بله,اصلا آشنایی نداشتم,خیلی زیاد,متوسط,خیر,خیر,Adame alaghe,هزینه هر سفر بدون تخفیف,براساس ترکیب زمان و مسافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 10 دقیقه,حدود 500 متر,تاکسی,بالا بودن هزینه کرایه,,,,متوسط( ترجیح می دهم با اتومبیل شخصی بروم),
12/3/2018 23:20:16,رویا,بالای 45,زن,4 نفر,متاهل,فوق لیسانس,شاغل پاره وقت,کمتر از 1.5 ملیون تومان,1,بله,2,هاچ بک,بله,خیر,یکبار یا دوبار در هفته,اکثر روزها,دوچرخه ندارم,سوار نمی شوم,بین 10 تا 20,خیر,اصلا آشنایی نداشتم,متوسط,متوسط,خیر,خیر,دوست ندارم کسی از ماشینم استفاده کنه. مردم ما خیلی مسوولیت پدیر نیستند در قبال چیزی که مال خودشون نیست. ,هزینه هر سفر بدون تخفیف,براساس ترکیب زمان و مسافت,حدود 30 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,حدود 10 دقیقه,کمتر از 200 متر,کنسل می‌کنم,"تحویل گرفتن خودرو مشکل‌دار و مقصر دانستن شما, تصادف, مسائل بهداشتی",,,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
12/3/2018 23:20:31,یوسف خانی,25-35,مرد,2 نفر,متاهل,دیپلم,شاغل پاره وقت,کمتر از 1.5 ملیون تومان,0,بله,2,هاچ بک,خیر,بله,اکثر روزها,اکثر روزها,اکثر روزها,به ندرت(در سال چند بار),بین 20 تا 30,بله,تا حدودی آشنایی داشتم,متوسط,کم,بله,بله,,هزینه هر سفر بدون تخفیف,براساس ترکیب زمان و مسافت,زیر 15 هزار تومان,زیر 15 هزار تومان,از طریق اپلیکیشن گوشی همراه,5 دقیقه و کمتر,کمتر از 200 متر,پیاده روی,بالا بودن هزینه کرایه,,خیر,,کم (از وسایل نقلیه عمومی مانند مترو و اتوبوس و یا تاکسی استفاده می کنم),
